,gene_id,AE0,AE1,PCA0,PCA1,UMAP0,UMAP1,tSNE0,tSNE1
7797,ITGAX,-5.060812473,-5.027908802,3.014264718750267,-0.917553836,9.342961,6.5984898,-7.030153,-16.113878
7798,ITGB1,-6.664562225,-10.71136951,8.655678178198206,-0.024794893,11.132105,-0.91197383,69.01427,-53.294487
7799,ITGB1BP1,-1.646832943,-6.86755228,1.7530176671369067,0.3535446666477764,9.576735,9.554967,-63.731956,-22.684017
7800,ITGB1BP2,2.9354019165039062,8.031714439,-4.18398656,0.017711692,-0.8888174,3.6174047,50.27439,23.121813
7801,ITGB2,-6.371747494,-5.721519947,4.538899532429828,-0.990414204,9.921162,4.5135336,2.27155,-16.928825
7802,ITGB2-AS1,-0.238672912,-0.788173437,-1.930644516,-0.68835539,1.8985083,7.91115,9.157331,65.07311
7803,ITGB3,-3.163254976,-3.384096622,0.5584194965949452,-0.722059446,6.5966697,9.278159,-36.387417,15.402729
7804,ITGB3BP,1.008925437927246,-4.777726173,-0.709905086,0.2832476542032492,3.8444386,10.527281,-39.915627,54.973503
7805,ITGB4,-4.402676582,-10.11173916,5.997408763835907,1.0282566159209916,11.833868,1.0164378,48.759632,-66.99181
7806,ITGB5,-4.34555912,-8.489656448,4.873288725115406,0.2748122010460765,11.963245,2.978315,26.64675,-52.392868
7807,ITGB6,-7.057961464,-5.413885117,4.928207544880828,-0.984146291,11.398758,2.6288126,30.768194,-42.43558
7808,ITGB7,-2.346099377,-3.083887577,-0.078526396,-0.461592103,4.8127346,8.292612,-1.8475298,4.8815856
7809,ITGB8,-2.580509186,-9.189474106,3.9738244089460744,1.3152523443837425,12.685547,4.2319746,13.071066,-74.65866
7810,ITGBL1,-3.655350208,-4.102333546,1.3336328080259598,-1.051915669,7.056389,8.289112,-18.062803,-0.7684613
7811,ITIH2,0.7652356028556824,5.669347763061523,-3.756041951,-0.469559835,-2.009197,2.6393492,84.02343,16.846712
7812,ITIH3,0.2929699420928955,5.644108772277832,-3.826882722,-0.585360979,-1.9218725,3.022687,51.950275,48.397713
7813,ITIH4,-1.372434855,-1.033828616,-1.369693179,-0.957897787,3.3243546,9.171183,-26.400415,40.036266
